State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,
NY,59263,57453,57324,57158,56954,58111,58726,57118,60128,61503,62607,60153,59513,59618,62124,60171,69291,74209,84713,94177,129655,143253,130211,158213,129571,131497,118753,110609,116471,119813,97387,95097,104515,117581,122702,124868,141121,179526,160398,166341,175442,111573,107841,112173,140770,113952,122105,132654,150944,115680,129646,138123,133939,141425,146615,161309,157983,160469,165245,,,,,,,,,,,,,,,,,,,,,,,,
OH,36755,36193,36803,38085,37909,38609,41431,39563,43378,44378,44071,43427,44848,46520,48306,46222,52757,58522,69583,74611,107311,112965,114254,130696,126712,129504,118013,123048,129565,110418,77705,83295,81062,63582,91752,84854,81257,81058,81012,88351,92101,62169,49134,57137,58021,66769,68978,77898,109780,106259,120718,127635,124801,139441,142159,134915,134585,133162,134241,,,,,,,,,,,,,,,,,,,,,,,,
OK,10185,9519,8940,8642,8170,7607,7729,7032,7537,7239,6979,6833,11704,11683,11342,11997,13317,14489,19149,22757,11200,12156,15590,13549,15471,15586,14557,15280,16005,25306,21420,21066,19677,22946,24095,24537,29277,25268,24732,22772,24097,24140,20700,23198,26567,30442,31642,33981,27112,31525,43757,45595,46968,50705,50755,47468,51189,47753,49768,,,,,,,,,,,,,,,,,,,,,,,,
OR,56355,55869,57086,56292,58807,57849,58516,56789,59131,58782,57448,59242,57325,58597,56911,57737,67336,73314,78013,78083,87178,92637,88365,99999,103656,103593,106848,107643,112589,84523,57715,55081,47150,46636,45054,45882,52115,52574,47373,41957,46934,53076,48105,43984,47857,49698,51514,55759,58162,64331,67983,66585,69329,80393,82509,93422,92094,93273,95023,,,,,,,,,,,,,,,,,,,,,,,,
PA,46454,45262,45730,47377,47186,47374,48649,48284,50587,52235,53189,52414,54198,56615,57537,57464,66499,71749,82661,94186,129198,140768,130485,154832,136912,138089,102041,96234,100900,82469,61362,69518,80199,80254,84884,97525,103551,95749,86439,89341,90285,79111,73134,74449,82076,83025,86233,93328,112834,126668,147121,163546,158142,173743,168449,174807,170844,172193,172636,,,,,,,,,,,,,,,,,,,,,,,,
RI,2858,2926,3081,3183,3492,3543,3750,4095,4217,4389,5234,4837,4873,5061,4976,4015,4671,5258,6536,7090,7274,6648,6018,7368,4926,5081,4653,3302,3528,3725,4357,4439,4693,5041,4926,4942,5413,4230,4070,4300,4432,3832,3667,3735,4452,1822,5307,6286,6180,7292,7029,6573,5747,5818,7473,7992,7489,7419,7320,,,,,,,,,,,,,,,,,,,,,,,,
SC,43120,41795,41078,41805,41995,40588,40510,38488,41283,40978,41000,42053,42334,43286,43813,41879,47935,49054,50645,50545,39763,39171,44240,42818,47108,47429,76676,72957,76282,76500,72214,75093,76301,79694,83212,88934,100228,101635,93417,79554,76662,57743,66321,66454,72682,75803,82290,82110,95330,98518,110565,120127,124748,125730,133352,126557,128706,131131,128475,,,,,,,,,,,,,,,,,,,,,,,,
SD,1537,1449,1396,1291,1273,1117,1064,1150,1166,1079,1147,1061,1198,1284,1285,1475,1684,1892,2029,1980,3339,3177,3656,3697,4359,4475,4566,4083,4781,4354,3204,3942,4357,4270,4751,4673,4238,3974,4121,4386,4693,5135,7412,12836,21930,28364,35473,38320,49636,57173,64631,63616,59789,62861,63721,63994,63410,63562,64791,,,,,,,,,,,,,,,,,,,,,,,,
TN,45355,43478,43391,46082,46394,46541,49135,46860,51733,53800,53761,54391,57566,58909,57547,54447,61792,67744,72036,79846,69326,74820,82019,84753,96780,98095,100842,97684,103007,82266,60744,64996,65326,59674,61892,63986,56948,49002,48567,51953,55158,66987,67157,62551,75510,80861,74197,77486,93744,92046,97710,99820,103985,109165,111647,108455,108192,107033,109283,,,,,,,,,,,,,,,,,,,,,,,,
TX,38296,38880,39275,37709,39136,41196,43785,43901,49149,51073,52207,51251,58945,60439,59656,55820,64884,70366,76252,77273,55648,58544,70015,66418,77878,81664,92451,98225,99028,112011,98022,98409,108088,98558,98792,103690,100412,106311,99146,82866,86905,76311,83970,81051,77520,82849,118986,143207,178702,144778,189495,223176,219414,231602,243264,238774,265719,258776,270784,,,,,,,,,,,,,,,,,,,,,,,,
UT,2219,2132,2044,2008,2148,1956,1938,2060,2216,2284,2303,2303,2543,3145,2612,2893,3257,3811,4492,5332,4492,5875,6051,6505,6910,6931,6469,3637,3859,3549,3445,3608,3785,3794,3552,3580,3872,4397,4919,6242,6658,4669,3720,3676,3639,5391,5061,6539,7635,7108,8090,9627,10023,10907,11185,14999,16538,16039,16851,,,,,,,,,,,,,,,,,,,,,,,,
VA,56072,53854,54344,55094,54594,54205,56102,53364,55705,56790,55458,54593,55879,55520,54757,53223,66836,66356,73069,79204,76307,75457,83784,83257,91294,93080,85690,79373,82405,94082,92001,96061,99299,105242,111101,115575,124385,115131,112523,115338,109264,84593,72645,92064,101183,116524,118695,122029,129287,128594,127061,121982,122117,138197,156212,156100,151005,148276,155471,,,,,,,,,,,,,,,,,,,,,,,,
VT,7943,7149,7251,6766,6556,6932,6807,6669,6872,6662,6472,6815,6181,6143,5782,6600,8023,9372,11450,12716,14432,14343,13818,15971,16132,17254,12962,12765,12630,9085,5278,6317,6477,8114,8340,9119,9114,9024,8090,8400,8773,8044,11230,12218,9990,12224,12622,12457,13909,19457,21407,18657,16557,21134,20763,26814,24639,24324,27015,,,,,,,,,,,,,,,,,,,,,,,,
WA,58533,57882,59084,62312,65254,66250,67111,63608,67282,67221,66521,67168,66974,66238,65173,64299,71386,78315,81043,77454,88272,95075,91303,104755,110696,112416,118265,123278,128220,109212,94426,75058,99563,103527,104383,92951,90894,96456,90163,91642,92090,94803,93639,101419,94563,88946,112653,90416,96149,106097,126209,125648,121432,128945,130961,140355,149565,145643,145868,,,,,,,,,,,,,,,,,,,,,,,,
WI,39155,39133,39130,38860,38951,39414,39521,39383,40963,40262,38333,38430,40603,42430,44525,44874,52438,55515,66214,69131,165342,174255,170138,190778,191071,191268,136568,136503,141966,108476,82007,83398,85250,79885,84819,89355,100037,102686,92523,95660,95095,106139,84542,98278,87455,126407,122757,125458,138650,129045,156008,152971,147157,153305,154821,160274,156766,153630,160969,,,,,,,,,,,,,,,,,,,,,,,,
WV,13367,12565,12784,12629,12204,11903,12112,11521,11625,11484,10703,10269,11834,12015,11795,11740,14116,14479,17673,21121,11850,10631,14112,11717,13740,13998,20438,18024,18820,11935,5009,5250,5680,7167,7016,7229,7275,5925,5094,5248,5621,5286,5251,5750,5897,12677,11509,12758,17359,27520,29639,28625,25431,31139,31440,19150,19368,19080,20594,,,,,,,,,,,,,,,,,,,,,,,,
WY,1623,1536,1448,1430,1466,1550,1497,1412,1584,1532,1566,1583,1324,1462,1462,1569,1725,1986,2596,3000,2739,3335,3361,3670,3748,3812,4315,3120,3255,2727,2173,2448,2038,1981,2449,2089,1529,1528,1373,1404,1516,1128,1115,1202,1203,3289,2982,3645,4188,3280,3658,4371,4621,4964,5121,8538,8286,8570,8368,,,,,,,,,,,,,,,,,,,,,,,,
US,1319871,1294762,1300242,1323316,1336802,1334761,1368986,1340249,1419494,1440488,1430962,1432323,1503065,1529068,1539661,1498733,1713373,1838332,2037605,2151906,2471691,2599746,2664743,2904414,2971603,3016233,2932095,2877576,3016049,3159354,2736982,2781799,2931673,2906004,3027532,3101141,3156805,3102838,2927489,2963292,3008229,2626720,2700621,2806475,3008074,3112387,3262140,3484824,3851392,3939989,4505629,4608415,4507251,4818116,4966141,4949884,4980969,4949693,5011683,,,,,,,,,,,,,,,,,,,,,,,,
