State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,12437,12160,15855,30493,32372,40479,50500,51427,58692,66340,69037,81497,77141,50250,59110,82484,73146,55241,70777,65839,60436,55461,56725,58133,59734,55711,59917,56119,54573,47805,40926,39950,37355,26712,52908,61974,82489,92042,58710,68282,58304,35461,44290,43298,36033,30743,33693,28834,29494,43261,51110,64205,56915,38761,52288,45202,44365,48419,57048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,93352,93175,101734,80947,95169,91464,79494,100437,80288,78115,84656,98699,115536,118976,122871,122852,98277,108482,91006,127403,91045,61827,102125,104700,106288,68316,55630,78827,47402,123649,104180,113470,103534,92309,124080,99290,118569,112731,110189,79783,65248,71778,81116,121537,104248,93086,76859,48823,55636,99669,79392,93037,78942,118721,84645,89288,62538,80071,93705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,11859,13143,8446,5009,4748,7771,8195,6043,13790,13279,10550,9220,8615,17663,17035,20052,11080,12199,7923,12448,10171,11972,10738,11648,10767,14636,20603,22482,12751,15034,18657,23216,27284,18416,15788,17565,9925,18289,14529,11455,8456,12403,11429,9077,13027,13324,6566,16254,10243,10040,12310,5471,5562,4580,3670,8913,12389,9784,10255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,3275,2459,4148,3691,8003,9545,8235,11206,10575,11673,7776,10312,12691,11537,9828,11181,11717,7898,7601,8303,8533,6512,10710,14663,14519,10646,14756,8919,6123,5859,5289,6543,6230,8866,7742,9990,10846,13728,13406,12835,7611,5253,4657,4266,4506,7844,7407,5325,6583,8152,6785,11952,7116,4818,6018,7164,7012,11919,8440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,13634,12602,13334,9174,8987,9234,7953,8410,8157,7369,7254,11771,14609,13694,11328,13637,9208,7448,13328,15977,9264,3813,9830,12725,12337,8833,781,8692,-1970,4421,13621,11271,11273,13539,11823,10261,14771,10420,13086,6971,7263,10480,8832,18038,15856,14842,13402,12338,9962,14431,14636,11760,9933,11961,9084,10795,13585,10285,16067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,9396,8219,8431,7229,6944,7464,8750,8498,8214,9447,8244,7778,9774,11005,10352,9761,11302,10001,9055,9624,8449,10482,8849,10583,9904,9635,10910,10367,9074,10927,14199,10986,9530,10116,10715,10030,12733,10902,12176,12227,12456,9137,11342,11685,11892,12107,15064,6391,14711,14502,13140,13843,10956,12269,11177,10619,9948,11796,11546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,369596,397880,417596,451952,492089,515280,550134,614437,668963,705605,729600,750108,787585,717005,861367,871063,979802,695150,921159,823176,863361,979462,916871,900136,871017,804970,824820,727530,707279,746181,909829,932377,706614,693923,676477,850742,1018675,1063894,813870,991813,818762,565565,795189,726537,716902,720674,813434,779148,765033,711823,666221,892101,851343,745678,755695,684060,723289,757151,736362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,25814,21486,22565,16253,16029,22276,21371,21620,24866,22542,19980,23363,25043,25389,21096,21193,17132,19003,24563,23745,21970,22386,25315,26886,24411,26594,25264,16425,15363,15394,20954,26264,24837,25634,22987,24527,27877,25362,17818,20294,20255,21247,25585,18663,19838,17400,16650,14985,15925,13605,20603,20859,14562,18880,23507,21813,25806,24481,21777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,10097,11101,10971,8400,9462,8657,7989,10950,9948,9946,10449,12012,12937,12214,11985,11058,10643,9840,9579,12754,11571,11392,11691,11672,11879,11052,10979,10475,10196,13633,13471,11118,13145,11485,11818,12299,14735,11630,11077,9513,11740,9836,10842,13730,13204,14474,15597,12398,12298,16064,13340,14118,13622,16590,11811,12907,15124,15280,16821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,6552,6737,10298,9211,9147,9243,9608,8229,9976,11460,10562,13748,12167,12562,14734,11657,10822,7951,10178,10905,11511,8790,8883,12097,13423,11157,11904,7999,8145,7098,6705,7680,6574,8118,9256,8234,12737,14101,13688,11967,10314,9084,5937,6010,5941,8083,8365,7210,8231,9434,9989,11890,8502,6782,8261,8091,8987,10352,8883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1607975,1656464,1816141,1771354,1886314,2059077,2061519,2346664,2348629,2647982,2633548,2824150,2863865,2861448,3176580,3154607,2976265,2333252,2936983,2930686,2900144,2757968,3265558,3527260,3385811,2970192,3071179,2634508,2334265,2837263,3046391,3015943,2617436,2891613,2683457,3205307,3589656,3640457,3297054,3267575,2811116,2241858,2689017,2792539,2688468,2702942,2869035,2446389,2511108,2668824,2538541,3102852,2628702,2562382,2466577,2321177,2472442,2766967,2663138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
