state,year,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm
AR,1986,1,0,0,0,0,0,0
AZ,1986,0,0,0,0,0,0,0
CA,1986,0,0,0,1,0,0,0
CO,1986,0,0,0,1,0,0,0
CT,1986,0,0,0,0,0,0,0
DE,1986,0,0,0,0,0,0,0
FL,1986,0,0,0,0,0,0,0
GA,1986,1,0,0,0,0,0,0
HI,1986,0,0,0,0,0,0,0
IA,1986,0,0,0,0,0,0,0
ID,1986,0,0,0,0,0,0,0
IL,1986,0,0,0,0,0,0,0
IN,1986,0,0,0,0,0,0,0
KS,1986,0,0,0,0,0,0,0
KY,1986,0,0,0,0,0,0,0
LA,1986,1,0,0,0,0,0,0
MA,1986,0,0,0,0,0,0,0
MD,1986,0,0,0,0,0,0,0
ME,1986,0,0,0,0,0,0,0
MI,1986,0,0,0,0,0,0,0
MN,1986,0,0,0,0,0,0,0
MO,1986,0,0,0,0,0,0,0
MS,1986,1,0,0,0,0,0,0
MT,1986,0,0,0,0,0,0,0
NC,1986,1,0,0,0,0,0,0
ND,1986,0,0,0,0,0,0,0
NE,1986,0,0,0,0,0,0,0
NH,1986,0,0,0,0,0,0,0
NJ,1986,0,0,0,0,0,0,0
NM,1986,0,0,0,0,0,0,0
NV,1986,0,0,0,1,0,0,0
NY,1986,0,0,0,0,0,0,0
OH,1986,0,0,0,0,0,0,0
OK,1986,0,0,0,0,0,0,0
OR,1986,0,0,0,1,0,0,0
PA,1986,0,0,0,0,0,0,0
PR,1986,0,0,0,0,0,0,0
RI,1986,0,0,0,0,0,0,0
SC,1986,1,0,0,0,0,0,0
SD,1986,0,0,0,0,0,0,0
TN,1986,1,0,0,0,0,0,0
TX,1986,0,0,0,0,0,0,0
UT,1986,0,0,0,0,0,0,0
VA,1986,1,0,0,0,0,0,0
VI,1986,0,0,0,0,0,0,0
VT,1986,0,0,0,0,0,0,0
WA,1986,0,0,0,0,0,0,0
WI,1986,0,0,0,0,0,0,0
WV,1986,0,0,0,0,0,0,0
WY,1986,0,0,0,1,0,0,0
AK,1987,0,0,0,0,0,0,0
AL,1987,0,0,0,0,0,0,0
AR,1987,0,0,0,0,0,0,0
AZ,1987,0,0,0,0,0,0,0
CA,1987,0,0,0,0,0,0,0
CO,1987,0,0,0,0,0,0,0
CT,1987,0,0,0,0,0,0,0
DE,1987,0,0,0,0,0,0,0
FL,1987,0,0,0,0,0,0,0
GA,1987,0,0,0,0,0,0,0
HI,1987,0,0,0,0,0,0,0
IA,1987,0,0,0,0,0,0,0
ID,1987,0,0,0,0,0,0,0
IL,1987,0,0,0,0,0,0,0
IN,1987,0,0,0,0,0,0,0
KS,1987,0,0,0,0,0,0,0
KY,1987,0,0,0,0,0,0,0
LA,1987,0,0,0,0,0,0,0
MA,1987,0,0,0,0,0,0,0
MD,1987,0,0,0,0,0,0,0
ME,1987,0,0,0,0,0,0,0
MI,1987,0,0,0,0,0,0,0
