State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,22110,19545,21733,19804,17842,17544,19632,18985,19142,18771,18322,18651,17274,18356,17762,18827,17457,18381,18980,19804,27403,21800,18717,47194,63057,49989,52238,28996,24397,30611,30071,39509,37488,41377,39090,41379,43110,48280,54335,51186,47128,46006,42486,37159,38003,38193,41989,42155,44501,54242,56467,58071,63717,74085,76205,85252,99703,109610,117300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,189314,250832,277979,260059,247409,262743,288582,301664,320307,339647,325491,326609,347985,364685,362988,354900,368500,342161,354864,368358,404671,413896,397442,435889,409565,415540,429134,400041,365628,379021,390950,379052,395108,421586,409947,393535,441204,493002,460180,420327,430513,351195,364411,359376,383435,374257,401540,392388,428758,409748,406281,441037,401415,418510,438924,449716,454453,491405,490276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,36966,36414,36983,38172,38010,38720,41531,39669,43465,44467,44149,43520,44940,46607,48408,46299,52843,58582,69632,74657,107374,113023,114311,132120,128420,131331,119814,125393,131494,112103,79958,85301,84110,65996,94253,87819,85997,86935,85953,93555,98927,68387,55136,63646,66807,73750,77291,84298,116288,114672,128705,137227,142730,160394,162675,155495,156011,156223,158586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,17766,20187,16660,10640,11373,16230,13064,14604,23406,26940,21730,21321,26724,50756,48830,42644,29303,32743,37416,46806,24855,23880,37437,39850,39885,57165,45383,45998,37117,50344,49914,41216,53293,67957,50125,53290,51673,55183,60591,55318,47389,48426,40973,42001,62153,65251,54844,82596,87945,92578,108361,114751,135557,178059,177933,203142,260364,284335,317896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,190489,188915,197646,199225,215793,230410,232649,243110,271743,350230,371350,419311,435930,351043,432867,417387,434370,327769,408647,387287,401129,428803,561127,574207,590530,529625,532746,477093,470568,481678,487410,484638,375975,417186,367996,467164,517451,530595,455575,510870,437828,351491,403564,386714,387006,368234,438059,402134,418908,423055,406879,527092,508135,472255,495005,451808,483200,511110,496804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,66100,61121,61767,60798,60590,61262,63676,68253,62881,61805,67525,60573,70114,70871,72077,73865,81184,84322,90536,106837,136826,147662,149605,167142,152019,148238,117214,108025,108182,98078,91855,90246,107587,105517,114040,119291,135591,119643,111689,110226,114696,97228,97200,110613,118023,109625,119645,121913,147224,165871,191415,216973,205017,235486,233338,236236,231093,240896,251187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,2951,3011,3139,3221,3533,3561,3771,4150,4266,4428,5268,4851,4934,5108,5023,4050,4704,5295,6577,7124,7287,6649,6053,7401,4946,5081,4653,3302,3528,3806,4499,4585,4840,5181,5066,5079,5562,4347,4197,4403,4520,3900,3737,3828,4536,1923,5431,6399,6308,7420,7179,6905,6012,6105,7902,8469,8260,9548,10031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,81969,76284,73455,69832,87558,77346,67699,66176,69381,73251,65064,78568,77077,83883,79895,87805,83353,80884,83872,91528,71184,52308,69636,75407,80276,66598,89899,95973,83299,97884,106617,107666,110649,110225,114631,124701,131794,131983,129956,96967,92462,70578,80645,103801,97441,105466,100539,97885,106872,121866,134412,135880,138965,156589,158550,151243,150318,150723,163509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,13974,13609,17252,31784,33645,41595,51565,52576,59858,67419,70185,82558,78339,51534,60394,83960,74830,57133,72806,67819,63775,58639,60381,61830,64092,60186,64483,60201,59354,52289,44283,44067,41909,31197,57892,66895,87018,96328,63218,73106,63439,41085,52277,57222,60251,61504,71514,69575,82021,106123,130843,155713,140977,129139,140105,134348,143948,141136,149546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,138708,136653,145125,127030,141564,138006,128629,147297,132020,131914,138417,153090,173103,177886,180418,177299,160069,176225,163042,207250,160372,136647,184144,189453,203068,166411,156473,176511,150409,205997,165010,178555,168952,152077,186064,163369,175612,161831,158854,131837,120501,138865,148413,184237,179906,174097,151734,126961,150057,192436,177753,193627,183764,229258,197847,199676,172837,189395,205952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,50155,52023,47721,42718,43884,48967,51980,49944,62939,64351,62757,60471,67560,78102,76691,75872,75965,82566,84175,89721,65819,70516,80753,78066,88645,96300,113054,120707,111778,127595,117290,122315,136103,117748,115384,122104,112104,126373,115562,98724,101491,102165,123649,117594,123498,140203,193520,250484,351075,352951,461084,529219,536423,584153,634678,674365,822659,914028,1008996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,5494,4591,6192,5699,10151,11501,10173,13266,12791,13957,10079,12615,15234,14683,12440,14074,14974,11709,12093,13634,13025,12388,16761,21168,21829,18721,23017,14264,11781,11680,10778,12555,12402,14642,13808,15540,17235,20402,20533,21236,16401,12128,11230,10520,10715,15773,15066,14230,17793,20365,22772,31285,28034,25009,29681,33788,47596,64201,61286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,69706,66456,67678,64267,63580,63439,64055,61774,63863,64159,62711,66364,70488,69214,66085,66861,76045,73803,86397,95181,85571,79270,93614,95982,103631,101913,86471,88065,80435,98719,105874,107612,110879,119114,123271,126209,139571,125994,126110,122830,117047,95661,82137,110936,117963,132464,133344,135794,140866,144885,143772,136051,134379,152516,167727,169401,167397,164298,181484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,17339,15369,15682,13995,13500,14396,15557,15167,15086,16109,14717,14594,15955,17149,16134,16361,19325,19373,20504,22340,22881,24825,22667,26554,26036,26890,23871,23132,21704,20018,19484,17310,16014,18238,19068,19167,21867,19949,20290,20800,21389,17342,22715,24055,22042,24499,27854,19025,28825,34194,34817,33021,28840,36144,35557,41539,38639,40992,44241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,428129,455762,476680,514264,557343,581530,617245,678045,736245,772827,796121,817275,854559,783243,926539,935362,1051188,773465,1002202,900631,951633,1074536,1008174,1004891,981713,917386,943085,850807,835500,855805,1004696,1007895,806664,797958,781385,944237,1110151,1160946,904688,1084122,911481,660975,893664,834753,819551,815363,937172,894490,898118,853813,839887,1080057,1036984,942925,957379,892135,949189,968932,956795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,64968,60619,61695,55114,54980,61690,60892,61003,65830,62804,58313,61793,65646,67818,65621,66067,69570,74518,90777,92876,187312,196641,195454,217664,215483,217863,161833,152928,157330,124135,103244,109956,110394,105835,108116,114213,128254,128387,110682,116297,115703,128460,110928,118300,108704,145127,140855,142051,160024,153703,188117,186278,177578,188087,194798,198018,197759,194795,199559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,23464,23666,23755,21029,21666,20560,20101,22471,21573,21430,21152,22281,24771,24229,23779,22798,24758,24320,27252,33875,23421,22023,25803,23389,25619,25050,31416,28499,29016,25599,18512,16399,18857,18684,18865,19566,22054,17598,16213,14809,17406,15165,16225,21237,20765,28742,28884,26873,33587,50902,52218,53543,51399,61073,57172,45008,47851,50017,53701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,8174,8273,11746,10641,10613,10793,11106,9641,11560,12992,12129,15331,13492,14024,16196,13226,12547,9937,12774,13906,14250,12125,12243,15780,17199,14999,16233,11118,11399,10475,9529,10779,9262,10749,12356,10974,14917,16280,15733,14158,15011,14658,12279,11638,14039,19291,19573,18963,22477,35036,45927,61745,55378,54732,55969,52328,58492,59437,54917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2928205,2952227,3117444,3096431,3225249,3395816,3432463,3690213,3772655,4094893,4070021,4262212,4382009,4410938,4741851,4687119,4727151,4208966,5005439,5122854,5424534,5417152,5980929,6495612,6438347,6084017,6111140,5624499,5456754,6234663,6041894,6067787,5820551,6079367,5987153,6559368,7012393,7011640,6491325,6514712,6104270,5164330,5726116,5944164,6074727,6232013,6636869,6523110,7174689,7608304,8266858,9203643,8846565,9420387,9712292,9687070,10328978,11046868,11281563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
