state_name,state_abb,year,pe_coal,pe_naturalgas,pe_petroleum,pe_nuclear,pe_totalrenew,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind
Oklahoma,OK,1965,697,480079,294406,0,16230,7607,0,8622,0,0
Oregon,OR,1965,7110,59990,248291,0,230410,57849,0,172561,0,0
Pennsylvania,PA,1965,1751318,652906,1245912,3691,61262,47374,0,13888,0,0
Rhode Island,RI,1965,11461,17036,127459,0,3561,3543,0,18,0,0
South Carolina,SC,1965,121474,90513,224469,880,77346,40588,0,36758,0,0
South Dakota,SD,1965,5652,26884,89989,0,41595,1117,0,40479,0,0
Tennessee,TN,1965,338853,211142,291325,0,138006,46541,0,91464,0,0
Texas,TX,1965,29182,3181456,1963246,0,48967,41196,0,7771,0,0
Utah,UT,1965,75449,99810,142231,0,11501,1956,0,9545,0,0
Virginia,VA,1965,386296,98615,513562,0,63439,54205,0,9234,0,0
Vermont,VT,1965,2707,0,58909,0,14396,6932,0,7464,0,0
Washington,WA,1965,12134,116216,405793,0,581530,66250,0,515280,0,0
Wisconsin,WI,1965,347925,204093,412265,0,61690,39414,0,22276,0,0
West Virginia,WV,1965,477365,176111,136937,0,20560,11903,0,8657,0,0
Wyoming,WY,1965,34454,54805,86464,0,10793,1550,0,9243,0,0
United States,US,1965,11582398,15779457,23183963,43164,3395816,1334761,1978,2059077,0,0
Alaska,AK,1966,16431,12282,65655,0,8328,5035,0,3293,0,0
Alabama,AL,1966,583457,240755,272450,0,121238,49102,0,72135,0,0
Arkansas,AR,1966,111,289632,194561,0,51697,35169,0,16528,0,0
Arizona,AZ,1966,7373,174448,159220,0,58060,3679,0,54380,0,0
California,CA,1966,51515,1982305,2219598,1895,375877,100673,1958,273247,0,0
Colorado,CO,1966,109021,207693,212419,0,17380,6982,0,10398,0,0
Connecticut,CT,1966,136198,48744,412430,0,16243,13612,0,2631,0,0
District of Columbia,DC,1966,23936,17611,93935,0,111,88,0,23,0,0
Delaware,DE,1966,38690,19845,135477,0,5852,5852,0,0,0,0
Florida,FL,1966,70146,220568,843702,0,42760,39739,0,3022,0,0
Georgia,GA,1966,177237,243089,413509,0,109456,74664,0,34792,0,0
Hawaii,HI,1966,0,0,144166,0,1309,144,0,1165,0,0
Iowa,IA,1966,125400,244028,317679,0,14994,5963,0,9031,0,0
Idaho,ID,1966,14867,38992,87936,0,81379,10269,0,71110,0,0
Illinois,IL,1966,1072076,868621,1232038,16358,37080,35275,0,1804,0,0
Indiana,IN,1966,967518,399896,659189,0,24315,23325,0,990,0,0
Kansas,KS,1966,13680,481093,279358,0,3529,3391,0,138,0,0
Kentucky,KY,1966,426294,152219,281670,0,49311,22592,0,26718,0,0
Louisiana,LA,1966,0,1245597,695295,0,39754,39754,0,0,0,0
Massachusetts,MA,1966,112103,117709,969386,12572,58117,49749,0,8368,0,0
Maryland,MD,1966,339046,102826,432553,0,42103,28335,0,13767,0,0
Maine,ME,1966,7401,522,180137,0,55812,30605,0,25207,0,0
Michigan,MI,1966,897159,626782,824626,3983,56828,37874,0,18954,0,0
Minnesota,MN,1966,171398,265810,450411,1498,35031,22682,0,12348,0,0
Missouri,MO,1966,190661,357396,476235,0,33010,26801,0,6209,0,0
Mississippi,MS,1966,898,284500,185309,0,37816,37816,0,0,0,0
Montana,MT,1966,5805,72116,118225,0,90332,7638,0,82695,0,0
North Carolina,NC,1966,380312,89442,535629,0,114335,68730,0,45605,0,0
North Dakota,ND,1966,36034,31864,112532,0,20421,333,0,20088,0,0
Nebraska,NE,1966,19748,195864,151343,0,13955,1848,0,12107,0,0
New Hampshire,NH,1966,9655,4197,108409,0,24343,11563,0,12781,0,0
New Jersey,NJ,1966,236575,236816,1152190,0,23570,24940,0,-1369,0,0
New Mexico,NM,1966,37029,247390,126340,0,6210,5504,0,706,0,0
Nevada,NV,1966,10862,36305,72019,0,19632,876,0,18755,0,0
New York,NY,1966,731385,645684,2220867,9274,288582,58726,0,229856,0,0
Ohio,OH,1966,1420418,975841,940071,17,41531,41431,0,101,0,0
Oklahoma,OK,1966,695,449319,303667,0,13064,7729,0,5335,0,0
Oregon,OR,1966,6521,69324,262945,0,232649,58516,0,174133,0,0
Pennsylvania,PA,1966,1746453,702888,1284932,6107,63676,48649,0,15027,0,0
Rhode Island,RI,1966,10581,17385,127158,0,3771,3750,0,21,0,0
South Carolina,SC,1966,132867,100873,243173,852,67699,40510,0,27188,0,0
South Dakota,SD,1966,5239,28256,93476,105,51565,1064,0,50500,0,0
Tennessee,TN,1966,363659,236752,325849,0,128629,49135,0,79494,0,0
Texas,TX,1966,27844,3404262,2078723,0,51980,43785,0,8195,0,0
Utah,UT,1966,79119,95740,154284,0,10173,1938,0,8235,0,0
Virginia,VA,1966,386377,125287,533921,0,64055,56102,0,7953,0,0
Vermont,VT,1966,2198,906,64284,0,15557,6807,0,8750,0,0
Washington,WA,1966,11134,124827,432260,11497,617245,67111,0,550134,0,0
Wisconsin,WI,1966,370695,229393,430383,0,60892,39521,0,21371,0,0
West Virginia,WV,1966,520023,179195,140775,0,20101,12112,0,7989,0,0
Wyoming,WY,1966,41450,62891,82040,0,11106,1497,0,9608,0,0
United States,US,1966,12145291,17005781,24334435,64158,3432463,1368986,1958,2061519,0,0
Alaska,AK,1967,18462,11889,76363,0,8457,4671,0,3786,0,0
