state_name,year,population_thousands
Michigan,1977,9171
Minnesota,1977,3989
Missouri,1977,4863
Mississippi,1977,2459
Montana,1977,770
North Carolina,1977,5686
North Dakota,1977,650
Nebraska,1977,1557
New Hampshire,1977,870
New Jersey,1977,7337
New Mexico,1977,1216
Nevada,1977,678
New York,1977,17813
Ohio,1977,10771
Oklahoma,1977,2870
Oregon,1977,2447
Pennsylvania,1977,11894
Rhode Island,1977,950
South Carolina,1977,2992
South Dakota,1977,688
Tennessee,1977,4423
Texas,1977,13193
Utah,1977,1320
Virginia,1977,5193
Vermont,1977,492
Washington,1977,3776
Wisconsin,1977,4627
West Virginia,1977,1908
Wyoming,1977,413
United States,1977,220239
Alaska,1978,405
Alabama,1978,3832
Arkansas,1978,2243
Arizona,1978,2515
California,1978,22836
Colorado,1978,2767
Connecticut,1978,3092
District of Columbia,1978,665
Delaware,1978,595
Florida,1978,9102
Georgia,1978,5296
Hawaii,1978,932
Iowa,1978,2918
Idaho,1978,911
Illinois,1978,11413
Indiana,1978,5470
Kansas,1978,2336
Kentucky,1978,3610
Louisiana,1978,4069
Massachusetts,1978,5736
Maryland,1978,4184
Maine,1978,1114
Michigan,1978,9218
Minnesota,1978,4015
Missouri,1978,4889
Mississippi,1978,2488
Montana,1978,782
North Carolina,1978,5759
North Dakota,1978,651
Nebraska,1978,1564
New Hampshire,1978,892
New Jersey,1978,7351
New Mexico,1978,1238
Nevada,1978,719
New York,1978,17681
Ohio,1978,10796
Oklahoma,1978,2917
Oregon,1978,2518
Pennsylvania,1978,11879
Rhode Island,1978,952
South Carolina,1978,3044
South Dakota,1978,689
Tennessee,1978,4486
Texas,1978,13500
Utah,1978,1368
Virginia,1978,5270
Vermont,1978,498
Washington,1978,3889
Wisconsin,1978,4646
West Virginia,1978,1923
Wyoming,1978,433
United States,1978,222585
Alaska,1979,403
Alabama,1979,3866
Arkansas,1979,2271
Arizona,1979,2636
California,1979,23257
Colorado,1979,2849
Connecticut,1979,3096
District of Columbia,1979,650
Delaware,1979,595
Florida,1979,9426
Georgia,1979,5401
Hawaii,1979,953
Iowa,1979,2916
Idaho,1979,933
Illinois,1979,11397
Indiana,1979,5501
Kansas,1979,2351
Kentucky,1979,3642
Louisiana,1979,4138
Massachusetts,1979,5738
Maryland,1979,4191
Maine,1979,1123
Michigan,1979,9266
Minnesota,1979,4050
Missouri,1979,4912
Mississippi,1979,2507
Montana,1979,787
North Carolina,1979,5823
North Dakota,1979,653
Nebraska,1979,1567
New Hampshire,1979,909
New Jersey,1979,7367
New Mexico,1979,1285
Nevada,1979,765
New York,1979,17584
Ohio,1979,10798
Oklahoma,1979,2975
Oregon,1979,2588
Pennsylvania,1979,11888
Rhode Island,1979,950
South Carolina,1979,3090
South Dakota,1979,688
Tennessee,1979,4560
Texas,1979,13888
Utah,1979,1420
Virginia,1979,5308
Vermont,1979,505
Washington,1979,4018
Wisconsin,1979,4683
West Virginia,1979,1942
Wyoming,1979,454
United States,1979,225055
Alaska,1980,405
Alabama,1980,3900
Arkansas,1980,2289
Arizona,1980,2738
California,1980,23801
Colorado,1980,2909
Connecticut,1980,3113
District of Columbia,1980,638
Delaware,1980,595
Florida,1980,9840
Georgia,1980,5486
Hawaii,1980,968
Iowa,1980,2914
Idaho,1980,948
Illinois,1980,11435
Indiana,1980,5491
Kansas,1980,2369
Kentucky,1980,3664
Louisiana,1980,4223
Massachusetts,1980,5746
Maryland,1980,4228
Maine,1980,1127
Michigan,1980,9256
Minnesota,1980,4085
Missouri,1980,4922
Mississippi,1980,2525
Montana,1980,789
North Carolina,1980,5899
North Dakota,1980,654
Nebraska,1980,1572
New Hampshire,1980,924
New Jersey,1980,7376
New Mexico,1980,1309
Nevada,1980,810
New York,1980,17567
Ohio,1980,10801
Oklahoma,1980,3041
Oregon,1980,2641
Pennsylvania,1980,11868
Rhode Island,1980,949
South Carolina,1980,3135
South Dakota,1980,691
Tennessee,1980,4600
Texas,1980,14338
Utah,1980,1473
Virginia,1980,5368
Vermont,1980,513
Washington,1980,4155
Wisconsin,1980,4712
West Virginia,1980,1951
Wyoming,1980,474
United States,1980,227225
Alaska,1981,418
Alabama,1981,3919
Arkansas,1981,2293
Arizona,1981,2810
California,1981,24286
Colorado,1981,2978
Connecticut,1981,3129
District of Columbia,1981,637
Delaware,1981,596
Florida,1981,10193
Georgia,1981,5568
Hawaii,1981,978
Iowa,1981,2908
Idaho,1981,962
Illinois,1981,11443
Indiana,1981,5480
Kansas,1981,2385
Kentucky,1981,3670
Louisiana,1981,4283
Massachusetts,1981,5769
Maryland,1981,4262
Maine,1981,1133
Michigan,1981,9209
Minnesota,1981,4112
Missouri,1981,4932
Mississippi,1981,2539
Montana,1981,795
North Carolina,1981,5957
North Dakota,1981,660
Nebraska,1981,1579
New Hampshire,1981,937
New Jersey,1981,7407
New Mexico,1981,1333
Nevada,1981,848
New York,1981,17568
Ohio,1981,10788
Oklahoma,1981,3096
Oregon,1981,2668
Pennsylvania,1981,11859
Rhode Island,1981,953
South Carolina,1981,3179
South Dakota,1981,690
Tennessee,1981,4628
Texas,1981,14746
Utah,1981,1515
Virginia,1981,5444
Vermont,1981,516
Washington,1981,4236
Wisconsin,1981,4726
West Virginia,1981,1954
Wyoming,1981,492
United States,1981,229466
Alaska,1982,450
Alabama,1982,3925
Arkansas,1982,2294
Arizona,1982,2890
California,1982,24820
Colorado,1982,3062
Connecticut,1982,3139
District of Columbia,1982,634
Delaware,1982,599
Florida,1982,10471
Georgia,1982,5650
Hawaii,1982,994
Iowa,1982,2888
Idaho,1982,974
Illinois,1982,11423
Indiana,1982,5468
Kansas,1982,2401
Kentucky,1982,3683
Louisiana,1982,4353
Massachusetts,1982,5771
Maryland,1982,4283
Maine,1982,1137
Michigan,1982,9115
Minnesota,1982,4131
Missouri,1982,4929
Mississippi,1982,2557
Montana,1982,804
North Carolina,1982,6019
North Dakota,1982,669
Nebraska,1982,1582
