state_name,year,tempc,co2_emissions,population_thousands,rgdp_millions,pe_coal,pe_petroleum,pe_naturalgas,pe_nuclear,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind,drought,flooding,freeze,severe_storm,tropical_cyclone,wildfire,winter_storm,state_abb,tempf,pe_totalrenew
Utah,1998,9.050925925925924,63.7,2166,85720,396129,250190,177960,0,4919,2159,13406,49,0,0,0,0,0,0,0,0,UT,48.29166666666666,20533
Virginia,1998,14.134259259259258,112.7,6901,317196,438490,811633,271387,285716,112523,364,13086,138,0,1,0,0,1,1,0,0,VA,57.44166666666666,126110
Vermont,1998,7.319444444444442,6.3,600,20697,53,83046,7827,35226,8090,0,12176,24,0,0,0,0,1,0,0,1,VT,45.175,20290
Washington,1998,9.222222222222221,76.4,5770,289102,103476,822396,303307,72556,90163,313,813870,342,0,0,0,0,0,0,0,0,WA,48.6,904688
Wisconsin,1998,8.500000000000004,102.0,5298,217254,472029,565384,372061,98586,92523,114,17818,227,0,0,0,0,1,0,0,0,WI,47.3,110682
West Virginia,1998,12.347222222222221,115.2,1816,60165,978340,213149,151873,0,5094,0,11077,42,0,0,0,0,1,0,0,0,WV,54.225,16213
Wyoming,1998,5.856481481481482,64.1,491,25841,516261,128915,116505,0,1373,649,13688,2,21,0,0,0,0,0,0,0,WY,42.54166666666666,15733
Alabama,1999,17.85648148148148,137.6,4430,154094,866512,536391,349076,322826,210694,62,79350,127,0,1,0,0,1,0,0,1,AL,64.14166666666667,290232
Arkansas,1999,16.75,63.7,2652,89317,267022,350550,257666,135009,82147,192,27552,931,0,1,0,0,1,0,0,1,AR,62.15,110822
Arizona,1999,15.99074074074074,81.2,5024,198096,403262,494547,167770,317843,12492,286,99794,3573,0,0,0,0,0,0,0,0,AZ,60.78333333333333,116145
California,1999,14.421296296296294,362.9,33499,1582377,69547,3423775,2379558,348736,155665,135325,416573,23925,33029,0,0,0,0,0,0,0,CA,57.95833333333333,764517
Colorado,1999,8.13425925925926,80.4,4226,216300,364236,412819,330896,0,15625,562,15978,231,0,0,0,0,0,0,0,0,CO,46.64166666666666,32395
Connecticut,1999,10.472222222222221,41.9,3386,202230,15231,442382,155870,132456,45009,5,4315,264,0,0,0,0,0,1,0,2,CT,50.85,49593
Delaware,1999,13.61574074074074,15.2,775,53862,35915,136124,58089,0,1889,89,0,23,0,0,0,0,0,1,0,1,DE,56.50833333333333,2001
Florida,1999,21.759259259259267,233.3,15759,616625,716280,1837301,583448,329450,171638,2157,1433,28969,0,1,0,0,1,0,0,1,FL,71.16666666666667,204197
Georgia,1999,18.050925925925924,161.9,8046,377608,782617,1013518,347107,328946,202675,91,28134,216,0,1,0,0,1,0,0,1,GA,64.49166666666666,231115
Iowa,1999,9.810185185185183,78.9,2918,116662,432009,401164,201472,38041,71068,315,9670,9,3337,0,0,0,0,0,0,0,IA,49.65833333333333,84399
Idaho,1999,6.435185185185188,15.1,1276,42496,7976,165044,73361,0,28093,1262,138042,2,0,0,0,0,0,0,0,0,ID,43.58333333333334,167399
Illinois,1999,11.962962962962965,227.0,12359,617315,958832,1273008,1011875,854224,91739,439,1453,209,0,0,0,0,1,0,0,2,IL,53.53333333333333,93840
Indiana,1999,11.78240740740741,225.5,6045,254489,1477167,844706,558192,0,42374,1029,4162,34,0,0,0,0,1,0,0,2,IN,53.20833333333334,47598
Kansas,1999,13.328703703703706,74.5,2678,111201,329308,420488,302023,95687,9731,253,126,32,0,0,0,0,1,0,0,0,KS,55.99166666666667,10142
Kentucky,1999,14.032407407407408,144.1,4018,156261,987592,606779,225390,0,11764,597,26144,4,0,1,0,0,1,0,0,1,KY,57.25833333333333,38509
Louisiana,1999,19.916666666666664,207.7,4461,212955,227687,1972528,1558295,137016,139727,451,8199,67,0,1,0,0,1,0,0,1,LA,67.85,148444
Massachusetts,1999,9.879629629629628,81.9,6317,331705,113610,715870,361211,47218,54773,226,9966,203,0,0,0,0,0,1,0,2,MA,49.78333333333333,65168
Maryland,1999,13.171296296296294,77.8,5255,240910,305186,568415,202525,139114,36161,118,14564,47,0,1,0,0,0,1,0,2,MD,55.70833333333334,50889
Maine,1999,6.555555555555554,20.6,1267,46393,6864,266171,6646,0,120655,5,38408,117,0,0,0,0,0,0,0,2,ME,43.8,159186
Michigan,1999,7.981481481481483,200.8,9897,429356,832638,1034821,947027,152473,94942,1154,14913,251,0,0,0,0,0,0,0,1,MI,46.36666666666667,111261
Minnesota,1999,6.495370370370373,93.0,4873,230684,341475,641002,351078,139148,81221,235,12056,323,4967,0,0,0,0,0,0,0,MN,43.69166666666667,98801
Missouri,1999,13.537037037037035,131.1,5562,238361,687170,769363,269052,89730,14756,74,18949,127,0,0,0,0,1,0,0,1,MO,56.36666666666667,33906
Mississippi,1999,18.342592592592585,62.1,2828,87647,137608,472228,317777,88075,64858,264,0,10,0,1,0,0,1,0,0,1,MS,65.01666666666667,65132
Montana,1999,6.6898148148148175,31.3,898,30598,186770,173185,63624,0,15397,276,141344,3,0,0,0,0,0,0,0,0,MT,44.04166666666667,157020
North Carolina,1999,15.370370370370367,142.2,7949,344425,742398,863324,224741,392121,104616,200,37674,142,0,1,0,0,1,1,0,1,NC,59.66666666666666,142632
North Dakota,1999,6.087962962962965,50.1,644,23705,411323,123412,53404,0,3778,225,26681,1,0,0,0,0,0,0,0,0,ND,42.95833333333334,30685
Nebraska,1999,10.541666666666666,42.2,1705,73884,198490,246043,121364,105452,26697,320,17579,14,0,0,0,0,1,0,0,0,NE,50.975,44610
New Hampshire,1999,7.439814814814812,16.9,1222,53058,35408,173701,20383,90667,24434,5,14432,36,0,0,0,0,0,1,0,1,NH,45.39166666666666,38906
New Jersey,1999,12.268518518518519,123.3,8360,448808,88984,1159974,737575,302746,39614,102,177,651,0,1,0,0,0,1,0,2,NJ,54.08333333333334,40544
New Mexico,1999,12.40740740740741,56.8,1808,70716,298105,238816,231312,0,6613,644,2482,487,0,0,0,0,0,0,0,0,NM,54.33333333333334,10226
Nevada,1999,10.319444444444443,41.7,1935,101276,181616,225010,159981,0,6290,15550,28916,431,0,0,0,0,0,0,0,0,NV,50.575,51186
New York,1999,8.273148148148147,206.6,18883,1048059,317998,1522476,1308185,386844,166341,310,253117,559,0,0,0,0,0,1,0,2,NY,46.89166666666666,420327
Ohio,1999,11.287037037037035,259.4,11335,499060,1382205,1269430,871913,171610,88351,778,4326,99,0,1,0,0,1,0,0,2,OH,52.31666666666666,93555
Oklahoma,1999,16.300925925925927,97.2,3437,119725,360598,491891,550768,0,22772,2,32472,73,0,0,0,0,1,0,0,1,OK,61.34166666666667,55318
Oregon,1999,8.439814814814811,42.4,3394,126884,38604,393569,246996,0,41957,693,466705,647,867,0,0,0,0,0,0,0,OR,47.19166666666666,510870
Pennsylvania,1999,9.995370370370372,265.0,12264,523565,1414957,1343271,713447,743282,89341,511,19906,467,0,1,0,0,0,1,0,2,PA,49.99166666666667,110226
Rhode Island,1999,10.972222222222221,13.3,1040,43176,41,97394,120719,0,4300,5,62,36,0,0,0,0,0,1,0,1,RI,51.75,4403
South Carolina,1999,17.439814814814813,77.8,3975,146526,402153,457386,167960,531002,79554,134,17255,24,0,1,0,0,1,1,0,1,SC,63.39166666666666,96967
South Dakota,1999,8.782407407407408,13.6,750,27501,46304,113682,36004,0,4386,437,68282,0,0,0,0,0,0,0,0,0,SD,47.80833333333333,73106
Tennessee,1999,15.162037037037035,122.2,5639,230418,648342,688943,286363,284525,51953,43,79783,58,0,1,0,0,1,0,0,1,TN,59.29166666666666,131837
Texas,1999,19.22685185185185,659.7,20558,965677,1530426,5842281,4138068,384141,82866,562,11455,569,3272,0,0,0,1,0,0,1,TX,66.60833333333333,98724
Utah,1999,9.532407407407408,62.7,2203,89270,384060,256387,169255,0,6242,2113,12835,47,0,0,0,0,0,0,0,0,UT,49.15833333333333,21236
Virginia,1999,13.481481481481481,114.9,7000,332146,444542,827413,287144,295742,115338,384,6971,137,0,1,0,0,0,1,0,2,VA,56.26666666666666,122830
Vermont,1999,6.819444444444442,6.5,605,21843,2016,83770,8128,42418,8400,5,12227,28,139,0,0,0,0,1,0,2,VT,44.275,20800
Washington,1999,8.300925925925927,76.7,5843,310332,96875,848406,302262,63598,91642,341,991813,326,0,0,0,0,0,0,0,0,WA,46.94166666666667,1084122
Wisconsin,1999,7.430555555555554,106.6,5333,226298,480722,607396,385142,120120,95660,129,20294,214,0,0,0,0,0,0,0,0,WI,45.375,116297
West Virginia,1999,11.680555555555555,116.2,1812,62170,993017,204099,147675,0,5248,8,9513,39,0,1,0,0,0,0,0,2,WV,53.025,14809
Wyoming,1999,6.194444444444442,62.8,492,26822,496169,147779,101660,0,1404,671,11967,2,114,0,0,0,0,0,0,0,WY,43.15,14158
Alabama,2000,17.537037037037035,143.4,4452,156560,904181,559735,368472,327143,203782,62,59346,113,0,1,0,0,0,0,0,1,AL,63.56666666666666,263303
Arkansas,2000,16.050925925925924,64.0,2679,90206,267579,357586,256114,121516,83466,192,24181,795,0,1,0,0,0,0,0,0,AR,60.89166666666666,108634
Arizona,2000,16.48611111111111,86.7,5161,207793,432810,502693,208137,316839,13376,286,85221,3344,0,1,0,0,0,0,0,0,AZ,61.675,102228
California,2000,14.888888888888893,378.3,33988,1709939,70012,3571465,2456438,366845,164105,127600,391043,23073,35887,1,0,0,0,0,0,0,CA,58.8,741708
Colorado,2000,8.333333333333334,85.3,4327,232752,387879,438600,366094,0,16364,578,14836,221,0,1,0,0,0,0,1,0,CO,47.0,31999
Connecticut,2000,9.185185185185183,43.1,3412,216370,36246,428736,163696,170674,45279,5,5369,260,0,0,0,0,0,0,0,0,CT,48.53333333333333,50913
Delaware,2000,12.63425925925926,16.1,786,56109,50147,130824,50175,0,2181,89,0,20,0,0,0,0,0,0,0,0,DE,54.74166666666667,2290
Florida,2000,21.430555555555557,241.2,16048,642693,760439,1907826,574460,336766,164155,2157,885,27909,0,1,1,0,0,0,0,0,FL,70.575,195106
Georgia,2000,17.416666666666668,169.8,8227,393195,819530,1013420,421262,338660,196564,91,25307,224,0,1,0,0,0,0,0,1,GA,63.35,222186
Iowa,2000,9.24074074074074,79.8,2929,122159,445888,395259,203042,46439,66147,315,9222,8,5037,1,0,0,0,0,0,0,IA,48.63333333333333,80729
Idaho,2000,6.629629629629627,15.7,1299,47324,13732,167339,74518,0,27857,1307,111871,1,0,0,0,0,0,0,1,0,ID,43.93333333333333,141037
Illinois,2000,11.222222222222221,233.7,12434,641749,1016555,1259616,1040261,932749,95574,439,1467,208,0,0,0,0,0,0,0,0,IL,52.2,97688
Indiana,2000,10.861111111111114,238.8,6092,263693,1595037,850050,576102,0,41611,1029,6001,33,0,0,0,0,0,0,0,0,IN,51.55,48674
Kansas,2000,13.074074074074073,76.2,2694,113972,362797,389363,314868,94495,9482,253,156,29,0,1,0,0,0,0,0,0,KS,55.53333333333333,9920
Kentucky,2000,13.148148148148145,145.0,4049,152118,997621,594541,234171,0,11972,597,23713,4,0,0,0,0,0,0,0,0,KY,55.66666666666666,36286
